country,pop_country,area_country
Afghanistan,31056997,647500
Albania,3581655,28748
Algeria,32930091,2381740
American-Samoa,57794,199
Andorra,71201,468
Angola,12127071,1246700
Anguilla,13477,102
Antigua-Barbuda,69108,443
Argentina,39921833,2766890
Armenia,2976372,29800
Aruba,71891,193
Australia,20264082,7686850
Austria,8192880,83870
Azerbaijan,7961619,86600
Bahamas,303770,13940
Bahrain,698585,665
Bangladesh,147365352,144000
Barbados,279912,431
Belarus,10293011,207600
Belgium,10379067,30528
Belize,287730,22966
Benin,7862944,112620
Bermuda,65773,53
Bhutan,2279723,47000
Bolivia,8989046,1098580
Bosnia-Herzegovina,4498976,51129
Botswana,1639833,600370
Brazil,188078227,8511965
British-Virgin-Isles,23098,153
Brunei,379444,5770
Bulgaria,7385367,110910
Burkina,13902972,274200
Burma,47382633,678500
Burundi,8090068,27830
Cambodia,13881427,181040
Cameroon,17340702,475440
Canada,33098932,9984670
Cape-Verde-Islands,420979,4033
Cayman-Islands,45436,262
Central-African-Republic,4303356,622984
Chad,9944201,1284000
Chile,16134219,756950
China,1313973713,9596960
Colombia,43593035,1138910
Comorro-Islands,690948,2170
Congo,62660551,2345410
Congo-Repub. of the,3702314,342000
Cook-Islands,21388,240
Costa-Rica,4075261,51100
Cote d'Ivoire,17654843,322460
Croatia,4494749,56542
Cuba,11382820,110860
Cyprus,784301,9250
Czechoslovakia,10235455,78866
Denmark,5450661,43094
Djibouti,486530,23000
Dominica,68910,754
Dominican-Republic,9183984,48730
East Timor,1062777,15007
Ecuador,13547510,283560
Egypt,78887007,1001450
El-Salvador,6822378,21040
Equatorial-Guinea,540109,28051
Eritrea,4786994,121320
Estonia,1324333,45226
Ethiopia,74777981,1127127
Faeroes,47246,1399
Fiji,905949,18270
Finland,5231372,338145
France,60876136,547030
French-Guiana,199509,91000
French-Polynesia,274578,4167
Gabon,1424906,267667
Gambia,1641564,11300
Gaza Strip,1428757,360
Georgia,4661473,69700
Germany-DDR,82422299,357021
Ghana,22409572,239460
Gibraltar,27928,7
Greece,10688058,131940
Greenland,56361,2166086
Grenada,89703,344
Guadeloupe,452776,1780
Guam,171019,541
Guatemala,12293545,108890
Guernsey,65409,78
Guinea,9690222,245857
Guinea-Bissau,1442029,36120
Guyana,767245,214970
Haiti,8308504,27750
Honduras,7326496,112090
Hong-Kong,6940432,1092
Hungary,9981334,93030
Iceland,299388,103000
India,1095351995,3287590
Indonesia,245452739,1919440
Iran,68688433,1648000
Iraq,26783383,437072
Ireland,4062235,70280
Isle of Man,75441,572
Israel,6352117,20770
Italy,58133509,301230
Jamaica,2758124,10991
Japan,127463611,377835
Jersey,91084,116
Jordan,5906760,92300
Kazakhstan,15233244,2717300
Kenya,34707817,582650
Kiribati,105432,811
Kuwait,2418393,17820
Kyrgyzstan,5213898,198500
Laos,6368481,236800
Latvia,2274735,64589
Lebanon,3874050,10400
Lesotho,2022331,30355
Liberia,3042004,111370
Libya,5900754,1759540
Liechtenstein,33987,160
Lithuania,3585906,65200
Luxembourg,474413,2586
Macau,453125,28
Macedonia,2050554,25333
Madagascar,18595469,587040
Malawi,13013926,118480
Malaysia,24385858,329750
Maldive-Islands,359008,300
Mali,11716829,1240000
Malta,400214,316
Marshall Islands,60422,11854
Martinique,436131,1100
Mauritania,3177388,1030700
Mauritius,1240827,2040
Mayotte,201234,374
Mexico,107449525,1972550
Micronesia,108004,702
Moldova,4466706,33843
Monaco,32543,2
Mongolia,2832224,1564116
Montserrat,9439,102
Morocco,33241259,446550
Mozambique,19686505,801590
N. Mariana Islands,82459,477
Namibia,2044147,825418
Nauru,13287,21
Nepal,28287147,147181
Netherlands,16491461,41526
Netherlands-Antilles,221736,960
